
=== THE LADDER, PER CANDIDATE (600 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  99.2%    4.04    73.6%      62.9%        1.5%   30.3%   16.02    0.38  0.87
karen                   4  99.8%    3.89    77.1%      66.9%        0.7%   32.8%   14.07    0.30  0.91
chad                    5  100.0%    4.14    66.0%      62.0%        4.3%   41.7%   15.91    0.64  0.78
chad                    6  100.0%    3.47    88.7%      88.7%        0.0%   61.3%    7.28    0.53  0.88
grandma                 7  99.7%    6.21    86.7%      79.4%        2.8%   22.5%    6.55    0.80  2.25
grandma                 8  100.0%    5.87    90.6%      90.4%        0.0%   24.1%    3.64    0.69  2.03
restructuring_trio      7  100.0%    6.18    58.9%      45.6%       10.0%    8.1%   10.80    0.40  1.31
restructuring_trio      8  99.8%    6.07    58.8%      49.4%        5.3%    6.9%   10.69    0.16  1.47
meredith_boss           8  98.5%    7.92    74.8%      70.9%        4.5%   38.7%    8.91    0.28  2.27
meredith_boss           9  99.8%    7.23    81.4%      80.1%        2.0%   42.6%    6.78    0.15  2.20
regional_director      10  100.0%    4.18    76.1%      75.8%        0.0%   32.4%   15.88    0.60  1.94
algorithm              10  99.8%    6.13    82.1%      80.8%        1.0%   25.3%    7.89    0.69  3.32

-- P8  P6 WITHOUT B2  = E3 + B3 + F1 + C1   [Does dropping the two-lock haymakers give the diversity band back?]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  96.2%    5.04    71.3%      57.8%        7.5%   22.6%   20.08    0.04  0.56
karen                   4  99.2%    4.33    75.9%      65.0%        3.0%   28.7%   17.68    0.00  0.28
chad                    5  96.8%    5.53    60.0%      44.6%       17.5%   26.8%   22.23    0.35  0.31
chad                    6  99.7%    3.96    76.5%      75.3%        2.0%   44.5%   14.18    0.33  0.38
grandma                 7  99.0%    7.97    78.2%      66.8%        6.3%   17.6%    9.50    0.70  1.94
grandma                 8  99.0%    6.76    81.6%      77.3%        1.8%   20.6%    8.03    0.63  1.64
restructuring_trio      7  99.7%    6.93    58.7%      39.6%       17.5%    5.0%   12.55    0.40  0.75
restructuring_trio      8  100.0%    6.92    58.0%      42.9%       10.7%    3.3%   12.11    0.22  0.77
meredith_boss           8  90.3%   12.78    59.3%      36.9%       35.7%   19.9%   19.70    0.09  1.64
meredith_boss           9  98.0%   10.44    60.5%      47.6%       20.0%   25.8%   16.13    0.03  1.67
regional_director      10  99.8%    5.67    63.7%      53.9%       15.0%   32.4%   21.84    0.00  1.08
algorithm              10  98.7%    7.08    67.9%      60.2%       12.7%   20.5%   14.91    0.70  2.45
